filename,surname,name,real_gender,year,edition,dancer_id,countries,perf_type,awards,has_award,performance,thumbnail_frame,res,frame_count,performance_translated,perf_clean,has_thumbnail,filepath_thumbnail,credits
edition9/edition9_sequence_8.mp4,Lindup,Janet,F,1981,9th,1981-045,South Africa,classical,,0,Sleeping Beauty - Act III,,,,Sleeping Beauty - Act III,Sleeping Beauty - Act 3,1,,
edition9/edition9_sequence_14.mp4,Merlo,Carlo,M,1981,9th,1981-071,Italy,classical,Bourse pour une ann¨¦e d'enseignement (Prix de Lausanne),1,Don Quichotte,,,,Don Quichotte,Don Quichotte,1,,
edition9/edition9_sequence_4.mp4,Pak,Hoon Sook,F,1981,9th,1981-038,South Korea,classical,,0,Sleeping Beauty - Act III,,,,Sleeping Beauty - Act III,Sleeping Beauty - Act 3,1,,
edition9/edition9_sequence_11.mp4,Savoye,Pablo,M,1981,9th,1981-065,France,classical,Bourse pour une ann¨¦e d'enseignement (Prix de Lausanne),1,Sleeping Beauty - Blue Bird,,,,Sleeping Beauty - Blue Bird,Sleeping Beauty - Blue Bird,1,,
edition9/edition9_sequence_13.mp4,Yow,David,M,1981,9th,1981-066,United Kingdom,classical,,1,Le Corsaire,,,,Le Corsaire,Le Corsaire,1,,
edition10/edition10_sequence_0.mp4,Ch¨¦rittwizer,Val¨¦rie,F,1982,10th,1982-014,France,classical,,0,The Nutcracker - Sugar Plum Fairy,,,,The Nutcracker - Sugar Plum Fairy,The Nutcracker - Sugar Plum Fairy,1,,
edition10/edition10_sequence_8.mp4,Collerie De Borely,Delphine,F,1982,10th,1982-022,France,classical,Bourse pour une ann¨¦e d'enseignement (Prix de Lausanne),1,Coppelia - Act III,,,,Coppelia - Act III,Coppelia - Act 3,1,,
edition10/edition10_sequence_5.mp4,Contardi,Laura,F,1982,10th,1982-025,Italy,classical,,0,Giselle - Act I,,,,Giselle - Act I,Giselle - Act 1,1,,
edition10/edition10_sequence_1.mp4,Felix,Tara,F,1982,10th,1982-002,USA,classical,,0,Giselle - Act I,,,,Giselle - Act I,Giselle - Act 1,1,,
edition10/edition10_sequence_10.mp4,Giannetti,Maurizio,M,1982,10th,1982-056,Italy,classical,Bourse pour une ann¨¦e d'enseignement (Prix de Lausanne),1,Don Quichotte,,,,Don Quichotte,Don Quichotte,1,,
edition10/edition10_sequence_12.mp4,Guiderdoni,Thierry,M,1982,10th,1982-064,France,classical,Prix professionnel,1,Sleeping Beauty - Act III Prince Desir¨¦,,,,Sleeping Beauty - Act III Prince Desir¨¦,Sleeping Beauty - Act 3 - Prince D¨¦sir¨¦,1,,
edition10/edition10_sequence_2.mp4,Hall¨¦,Muriel,F,1982,10th,1982-036,France,classical,"Prix d'encouragement offert par la Fondation de la Danse, Paris",1,Le Corsaire,,,,Le Corsaire,Le Corsaire,1,,
edition10/edition10_sequence_7.mp4,Kimura,Kiyoko,F,1982,10th,1982-033,South Korea,classical,Prix professionnel,1,Le Corsaire,,,,Le Corsaire,Le Corsaire,1,,
edition10/edition10_sequence_14.mp4,Kovats,Tibor,M,1982,10th,1982-058,Hungary,classical,Prix de la Fondation Johnson,1,Le Corsaire,,,,Le Corsaire,Le Corsaire,1,,
edition10/edition10_sequence_3.mp4,Marache,Sandrine,F,1982,10th,1982-007,France,classical,Bourse d'une ann¨¦e d'enseignement (Prix de Lausanne),1,Coppelia - Act I,,,,Coppelia - Act I,Coppelia - Act 1,1,,
edition10/edition10_sequence_6.mp4,Moore,Bonnie,F,1982,10th,1982-011,USA,classical,Prix de la Fondation Johnson,1,Sleeping Beauty - Act III,,,,Sleeping Beauty - Act III,Sleeping Beauty - Act 3,1,,
edition10/edition10_sequence_9.mp4,M¨¹ller,Martino,M,1982,10th,1982-068,Switzerland,classical,Prix du meilleur Suisse,1,Giselle - Act II,,,,Giselle - Act II,Giselle - Act 2,1,,
edition10/edition10_sequence_13.mp4,Neglia,Sergio,M,1982,10th,1982-053,Argentina,classical,"Prix d'encouragement offert par la Fondation de la Danse, Paris",1,Giselle - Act I,,,,Giselle - Act I,Giselle - Act 1,1,,
edition10/edition10_sequence_11.mp4,Sadamatsu,Shoichiro,M,1982,10th,1982-054,Japan,classical,Bourse pour une ann¨¦e d'enseignement (Prix de Lausanne),1,Le Corsaire,,,,Le Corsaire,Le Corsaire,1,,
edition10/edition10_sequence_4.mp4,Volf,Katalin,F,1982,10th,1982-034,Hungary,classical,Prix de la Fondation Johnson,1,Le Corsaire,,,,Le Corsaire,Le Corsaire,1,,
edition11/edition11_sequence_8.mp4,Arndt,Stefanie,F,1983,11st,1983-020,Federal Republic of Germany,classical,Bourse pour une ann¨¦e d'enseignement (Prix de Lausanne),1,Sleeping Beauty - Act III,,,,Sleeping Beauty - Act III,Sleeping Beauty - Act 3,1,,
edition11/edition11_sequence_5.mp4,Caccia,Ghislaine,F,1983,11st,1983-002,Switzerland,classical,Prix du meilleur Suisse,1,Swan Lake - Act I,,,,Swan Lake - Act I,Swan Lake - Act 1,1,,
edition11/edition11_sequence_12.mp4,Elizab¨¦,St¨¦phane,M,1983,11st,1983-075,France,classical,Bourse pour une ann¨¦e d'enseignement (Prix de Lausanne),1,Sleeping Beauty - Act III,,,,Sleeping Beauty - Act III,Sleeping Beauty - Act 3,1,,
edition11/edition11_sequence_4.mp4,Gdaniec,Katarzyna,F,1983,11st,1983-054,Poland,classical,Prix de la Fondation Johnson,1,Coppelia - Act III,,,,Coppelia - Act III,Coppelia - Act 3,1,,
edition11/edition11_sequence_11.mp4,Horiuchi,Jyu,M,1983,11st,1983-070,Japan,classical,Bourse pour une ann¨¦e d'enseignement (Prix de Lausanne),1,Giselle - Act I,,,,Giselle - Act I,Giselle - Act 1,1,,
edition11/edition11_sequence_3.mp4,Lammersen,Kirstin,F,1983,11st,1983-027,Federal Republic of Germany,classical,,0,Le Corsaire,,,,Le Corsaire,Le Corsaire,1,,
edition11/edition11_sequence_1.mp4,Para,B¨¦atrice,F,1983,11st,1983-003,France,classical,,0,Giselle - Act I,,,,Giselle - Act I,Giselle - Act 1,1,,
edition11/edition11_sequence_10.mp4,Redmon,Vincent,M,1983,11st,1983-071,United Kingdom,classical,Prix de la Fondation Johnson,1,Don Quichotte,,,,Don Quichotte,Don Quichotte,1,,
edition11/edition11_sequence_6.mp4,Reinhardt,Angela,F,1983,11st,1983-010,German Democratic Republic,classical,Prix de la Fondation Johnson,1,Giselle - Act I,,,,Giselle - Act I,Giselle - Act 1,1,,
edition11/edition11_sequence_2.mp4,Roncaglia,Irina,F,1983,11st,1983-036,Italy,classical,"Prix d'encouragement de la Fondation de la Danse, Paris",1,Sleeping Beauty - Act III,,,,Sleeping Beauty - Act III,Sleeping Beauty - Act 3,1,,
edition11/edition11_sequence_9.mp4,Santi,Marco,M,1983,11st,1983-072,Italy,classical,Bourse pour une ann¨¦e d'enseignement (Prix de Lausanne)-Prix de la meilleure chor¨¦graphie personnelle,1,Sleeping Beauty - Act III,,,,Sleeping Beauty - Act III,Sleeping Beauty - Act 3,1,,
edition11/edition11_sequence_0.mp4,Stokes,Sian,F,1983,11st,1983-029,Australia,classical,,0,Le Corsaire,,,,Le Corsaire,Le Corsaire,1,,
edition11/edition11_sequence_7.mp4,Yoshida,Miyako,F,1983,11st,1983-007,Japan,classical,Bourse pour une ann¨¦e d'enseignement (Prix de Lausanne),1,Coppelia - Act III,,,,Coppelia - Act III,Coppelia - Act 3,1,,
edition12/edition12_sequence_11.mp4,Abegglen,Peter,M,1984,12nd,1984-055,Switzerland,classical,,0,Giselle - Act I Peasant Pas,,,,Giselle - Act I Peasant Pas,Giselle - Act 1 - Peasant Pas,1,,
edition12/edition12_sequence_12.mp4,Buratti,Eugenio,M,1984,12nd,1984-053,Italy,classical,Prix de la Fondation Johnson,1,Don Quichotte,,,,Don Quichotte,Don Quichotte,1,,
edition12/edition12_sequence_14.mp4,Dalle,St¨¦phane,M,1984,12nd,1984-057,France,classical,Prix de la Fondation Johnson,1,Giselle - Act II,,,,Giselle - Act II,Giselle - Act 2,1,,
edition12/edition12_sequence_8.mp4,Deferm,Nadia,F,1984,12nd,1984-025,Belgium,classical,Prix professionnel,1,Coppelia - Act III,,,,Coppelia - Act III,Coppelia - Act 3,1,,
edition12/edition12_sequence_9.mp4,Durante,Viviana,F,1984,12nd,1984-005,Italy,classical,Prix de la Fondation Johnson,1,Swan Lake - Act I,,,,Swan Lake - Act I,Swan Lake - Act 1,1,,
edition12/edition12_sequence_5.mp4,Grant,Ann-Marie,F,1984,12nd,1984-023,USA,classical,,0,Le Corsaire,,,,Le Corsaire,Le Corsaire,1,,
edition12/edition12_sequence_10.mp4,Hiramoto,Kumi,F,1984,12nd,1984-010,Japan,classical,Bourse pour une ann¨¦e d'enseignement (Prix de Lausanne),1,Giselle - Act I,,,,Giselle - Act I,Giselle - Act 1,1,,
edition12/edition12_sequence_13.mp4,Layada,Hocine,M,1984,12nd,1984-051,France,classical,"Prix d'encouragement de la Fondation de la Danse, Paris",1,Giselle - Act I Peasant Pas,,,,Giselle - Act I Peasant Pas,Giselle - Act 1 - Peasant Pas,1,,
edition12/edition12_sequence_2.mp4,Lenzi,Sabrina,F,1984,12nd,1984-029,Italy,classical,,0,Sleeping Beauty - Act III,,,,Sleeping Beauty - Act III,Sleeping Beauty - Act 3,1,,
edition12/edition12_sequence_16.mp4,Manglunki,Mehdi,M,1984,12nd,1984-060,Belgium,classical,Bourse pour une ann¨¦e d'enseignement (Prix de Lausanne),1,Don Quichotte,,,,Don Quichotte,Don Quichotte,1,,
edition12/edition12_sequence_6.mp4,Mazzoni,Roberta,F,1984,12nd,1984-001,Italy,classical,Bourse pour une ann¨¦e d'enseignement (Prix de Lausanne),1,Coppelia - Act III,,,,Coppelia - Act III,Coppelia - Act 3,1,,
edition12/edition12_sequence_3.mp4,Perriraz,Nathalie,F,1984,12nd,1984-021,Switzerland,classical,Prix du meilleur Suisse,1,Giselle - Act I,,,,Giselle - Act I,Giselle - Act 1,1,,
edition12/edition12_sequence_1.mp4,Sunaga,Rie,F,1984,12nd,1984-003,Japan,classical,,0,Le Corsaire,,,,Le Corsaire,Le Corsaire,1,,
edition12/edition12_sequence_4.mp4,Takabe,Hisako,F,1984,12nd,1984-004,Japan,classical,Bourse pour une ann¨¦e d'enseignement (Prix de Lausanne),1,Coppelia - Act III,,,,Coppelia - Act III,Coppelia - Act 3,1,,
edition12/edition12_sequence_15.mp4,Tengler,Tam¨¢s,M,1984,12nd,1984-058,Hungary,classical,,0,Sleeping Beauty - Act III,,,,Sleeping Beauty - Act III,Sleeping Beauty - Act 3,1,,
edition12/edition12_sequence_7.mp4,Ushio,Kazumi,F,1984,12nd,1984-009,Japan,classical,Prix d'encouragement du jury,1,Le Corsaire,,,,Le Corsaire,Le Corsaire,1,,
edition12/edition12_sequence_0.mp4,Valtat,Muriel,F,1984,12nd,1984-018,France,classical,Prix professionnel,1,Sleeping Beauty - Act III,,,,Sleeping Beauty - Act III,Sleeping Beauty - Act 3,1,,
edition13/edition13_sequence_5.mp4,Ferla,Xavier,M,1985,13rd,1985-040,Switzerland,classical,Prix de Lausanne exceptionnel,1,Giselle - Act I,,,,Giselle - Act I,Giselle - Act 1,1,,
edition13/edition13_sequence_4.mp4,Huys,Ben,M,1985,13rd,1985-051,Belgium,classical,Bourse pour une ann¨¦e d'enseignement (Prix de Lausanne),1,Le Corsaire,,,,Le Corsaire,Le Corsaire,1,,
edition13/edition13_sequence_0.mp4,Van De Vyver,Ariane,F,1985,13rd,1985-029,Belgium,classical,Prix professionnel,1,Le Corsaire,,,,Le Corsaire,Le Corsaire,1,,
edition13/edition13_sequence_3.mp4,Vinckier,Greet,F,1985,13rd,1985-008,Belgium,classical,Bourse pour une ann¨¦e d'enseignement (Prix de Lausanne),1,Sleeping Beauty - Act III,,,,Sleeping Beauty - Act III,Sleeping Beauty - Act 3,1,,
edition14/edition14_sequence_6.mp4,Akiyama,Tamako,F,1986,14th,1986-039,Japan,classical,Prix de la Fondation Johnson,1,Le Corsaire,,,,Le Corsaire,Le Corsaire,1,,
edition14/edition14_sequence_2.mp4,Blanc,Christine,F,1986,14th,1986-041,France,classical,Bourse pour une ann¨¦e d'enseignement (Prix de Lausanne),1,Le Corsaire,,,,Le Corsaire,Le Corsaire,1,,
edition14/edition14_sequence_9.mp4,Bussell,Darcey,F,1986,14th,1986-019,United Kingdom,classical,Prix de la Fondation Johnson,1,Swan Lake - Act I,,,,Swan Lake - Act I,Swan Lake - Act 1,1,,
edition14/edition14_sequence_10.mp4,Chaduteau,C¨¦cile,F,1986,14th,1986-045,France,classical,Prix de la Fondation Johnson,1,Le Corsaire,,,,Le Corsaire,Le Corsaire,1,,
edition14/edition14_sequence_3.mp4,Cox,Julie,F,1986,14th,1986-044,USA,classical,Bourse pour une ann¨¦e d'enseignement (Prix de Lausanne),1,Sleeping Beauty - Act III,,,,Sleeping Beauty - Act III,Sleeping Beauty - Act 3,1,,
edition14/edition14_sequence_14.mp4,De Block,Bart,M,1986,14th,1986-073,Belgium,classical,Prix professionnel,1,Giselle - Act I Peasant Pas,,,,Giselle - Act I Peasant Pas,Giselle - Act 1 - Peasant Pas,1,,
edition14/edition14_sequence_5.mp4,Euverink,Nancy,F,1986,14th,1986-058,Netherlands,classical,,0,Sleeping Beauty - Act III,,,,Sleeping Beauty - Act III,Sleeping Beauty - Act 3,1,,
edition14/edition14_sequence_0.mp4,Goh,Chan Hon,F,1986,14th,1986-020,Canada,classical,,0,Sleeping Beauty - Act III,,,,Sleeping Beauty - Act III,Sleeping Beauty - Act 3,1,,
edition14/edition14_sequence_11.mp4,Harmsen,Lydia,F,1986,14th,1986-061,Netherlands,classical,Bourse pour une ann¨¦e d'enseignement (Prix de Lausanne),1,Giselle - Act I,,,,Giselle - Act I,Giselle - Act 1,1,,
edition14/edition14_sequence_1.mp4,Hayashi,Michiyo,F,1986,14th,1986-017,Japan,classical,,0,Sleeping Beauty - Act III,,,,Sleeping Beauty - Act III,Sleeping Beauty - Act 3,1,,
edition14/edition14_sequence_8.mp4,Nakamura,Kaori,F,1986,14th,1986-009,Japan,classical,Bourse pour une ann¨¦e d'enseignement (Prix de Lausanne),1,Le Corsaire,,,,Le Corsaire,Le Corsaire,1,,
edition14/edition14_sequence_12.mp4,Pobereznic,Sergiu,M,1986,14th,1986-079,United Kingdom,classical,,0,Le Corsaire,,,,Le Corsaire,Le Corsaire,1,,
edition14/edition14_sequence_13.mp4,Rebeck,Raimondo,M,1986,14th,1986-083,German Democratic Republic,classical,,0,Sleeping Beauty - Act III - Prince D¨¦sir¨¦,,,,Sleeping Beauty - Act III - Prince D¨¦sir¨¦,Sleeping Beauty - Act 3 - Prince D¨¦sir¨¦,1,,
edition14/edition14_sequence_4.mp4,Sato,Akemi,F,1986,14th,1986-052,Japan,classical,,0,Le Corsaire,,,,Le Corsaire,Le Corsaire,1,,
edition14/edition14_sequence_7.mp4,Searchfield,Nicola Jane,F,1986,14th,1986-026,New Zealand,classical,Prix professionnel,1,Sleeping Beauty - Act III,,,,Sleeping Beauty - Act III,Sleeping Beauty - Act 3,1,,
edition14/edition14_sequence_15.mp4,Seyffert,Gregor,M,1986,14th,1986-074,German Democratic Republic,classical,M¨¦daille d'or,1,Le Corsaire,,,,Le Corsaire,Le Corsaire,1,,
edition15/edition15_sequence_6.mp4,Borrer,Cosima,F,1987,15th,1987-031,Switzerland,classical,,0,Tcha?kovski Pas de Deux,,,,Tcha?kovski Pas de Deux,Tcha?kovski Pas De Deux,1,,
edition15/edition15_sequence_0.mp4,Broncin,Emmanuelle,F,1987,15th,1987-032,France,classical,,0,Le Corsaire,,,,Le Corsaire,Le Corsaire,1,,
edition15/edition15_sequence_17.mp4,Cai,Yilei,M,1987,15th,1987-081,China,classical,M¨¦daille d'or,1,Don Quichotte - Act III,,,,Don Quichotte - Act III,Don Quichotte - Act 3,1,,
edition15/edition15_sequence_16.mp4,Cassidy,Michael Stuart,M,1987,15th,1987-094,United Kingdom,classical,Prix professionnel,1,Giselle - Act II,,,,Giselle - Act II,Giselle - Act 2,1,,
edition15/edition15_sequence_11.mp4,Chen,Yan,F,1987,15th,1987-018,China,classical,,0,Coppelia - Act I,,,,Coppelia - Act I,Coppelia - Act 1,1,,
edition15/edition15_sequence_10.mp4,Fanlo,Larisa,F,1987,15th,1987-001,Argentina,classical,Bourse pour une ann¨¦e d'enseignement (Prix de Lausanne),1,Giselle - Act I,,,,Giselle - Act I,Giselle - Act 1,1,,
edition15/edition15_sequence_9.mp4,Fouras,Dana,F,1987,15th,1987-057,Australia,classical,Bourse pour une ann¨¦e d'enseignement (Prix de Lausanne),1,Raymonda - Act I,,,,Raymonda - Act I,Raymonda - Act 1,1,,
edition15/edition15_sequence_12.mp4,Gafner,Fr¨¦d¨¦ric,M,1987,15th,1987-090,Switzerland,classical,Prix professionnel,1,Giselle - Act II,,,,Giselle - Act II,Giselle - Act 2,1,,
edition15/edition15_sequence_4.mp4,Gimenez,Maria,F,1987,15th,1987-036,Spain,classical,,0,Swan Lake - Act I,,,,Swan Lake - Act I,Swan Lake - Act 1,1,,
edition15/edition15_sequence_2.mp4,Gluck,Virginia,F,1987,15th,1987-037,Spain,classical,,0,Le Corsaire,,,,Le Corsaire,Le Corsaire,1,,
edition15/edition15_sequence_7.mp4,Iyoku,Takako,F,1987,15th,1987-042,Japan,classical,Bourse pour une ann¨¦e d'enseignement (Prix de Lausanne),1,Le Corsaire,,,,Le Corsaire,Le Corsaire,1,,
edition15/edition15_sequence_3.mp4,Liu,Jun,F,1987,15th,1987-048,China,classical,Prix Esp¨¨ces,1,Giselle - Act I,,,,Giselle - Act I,Giselle - Act 1,1,,
edition15/edition15_sequence_13.mp4,Mart¨ªnez,Jos¨¦ Carlos,M,1987,15th,1987-097,Spain,classical,Bourse pour une ann¨¦e d'enseignement (Prix de Lausanne),1,Don Quichotte,,,,Don Quichotte,Don Quichotte,1,,
edition15/edition15_sequence_5.mp4,Mcdermott,Christina,F,1987,15th,1987-035,Switzerland,classical,Meilleur Suisse,1,Le Corsaire,,,,Le Corsaire,Le Corsaire,1,,
edition15/edition15_sequence_8.mp4,Menicucci,Giulia,F,1987,15th,1987-017,Italy,classical,Prix Esp¨¨ces,1,Giselle - Act I,,,,Giselle - Act I,Giselle - Act 1,1,,
edition15/edition15_sequence_15.mp4,Rebeck,Raimondo,M,1987,15th,1987-096,German Democratic Republic,classical,Prix Esp¨¨ces,1,The Nutcracker,,,,The Nutcracker,The Nutcracker,1,,
edition15/edition15_sequence_14.mp4,Svalberg,Joakim,M,1987,15th,1987-088,Sweden,classical,,0,Le Corsaire,,,,Le Corsaire,Le Corsaire,1,,
